Date,ATVI,GOOGL,GOOG,T,CHTR,CMCSA,DISCA,DISCK,DISH,EA,FB,FOXA,FOX,IPG,LYV,NFLX,NWSA,TMUS,TTWO,DIS,TWTR,VZ,VIAC
2016-01-04,36.37,759.44,741.84,25.43,177.53,25.24,26.41,25.16,57.29,66.01,102.22,,,18.88,23.97,109.96,12.23,38.95,34.17,97.16,22.56,36.34,
2016-01-05,35.90,761.53,742.58,25.61,175.17,25.25,26.47,25.27,57.35,64.85,102.73,,,19.24,23.91,107.66,11.82,40.22,34.75,95.19,21.92,36.84,
2016-01-06,35.56,759.33,743.62,25.57,174.31,25.05,26.28,25.10,56.06,63.60,102.97,,,18.92,23.77,117.68,11.76,40.05,34.01,94.68,21.39,36.51,
2016-01-07,35.06,741.00,726.39,25.16,173.63,24.78,25.48,24.32,54.86,62.38,97.92,,,18.33,23.11,114.56,11.49,40.51,32.42,93.87,20.26,36.31,
2016-01-08,34.52,730.91,714.47,25.18,174.89,24.80,26.01,25.00,53.81,63.05,97.33,,,18.24,22.81,111.39,11.64,39.88,32.34,93.64,19.98,35.95,
2016-01-11,35.00,733.07,716.03,25.49,175.63,24.83,25.83,24.85,53.24,64.12,97.51,,,18.14,22.78,114.97,11.30,39.68,32.77,94.27,19.65,36.16,
2016-01-12,35.88,745.34,726.07,25.45,175.32,24.90,26.33,25.25,53.94,65.53,99.37,,,18.24,23.13,116.58,11.50,40.06,33.62,95.72,19.62,36.03,
2016-01-13,33.70,719.57,700.56,25.33,167.99,24.30,25.54,24.62,52.07,63.30,95.44,,,17.93,22.08,106.56,11.28,38.85,32.50,92.91,18.68,35.41,
2016-01-14,34.22,731.39,714.72,25.75,172.31,24.98,26.30,25.42,51.73,64.39,98.37,,,18.45,22.51,107.06,11.76,39.39,32.69,93.50,19.00,35.99,
2016-01-15,33.75,710.49,694.45,25.52,165.08,24.45,25.89,25.07,49.94,65.97,94.97,,,17.97,22.50,104.04,11.58,37.79,32.58,88.59,17.94,35.63,
2016-01-19,33.98,719.08,701.79,25.91,167.38,24.61,25.79,25.22,48.90,67.28,95.26,,,17.94,22.38,107.89,11.43,37.65,32.50,88.66,16.69,35.99,
2016-01-20,33.55,718.56,698.45,25.45,170.51,24.32,25.53,25.02,48.36,66.76,94.35,,,17.45,21.55,107.74,11.24,37.36,32.62,87.31,17.38,35.63,
2016-01-21,33.41,726.67,706.59,25.93,169.45,24.65,25.89,25.54,47.67,66.94,94.16,,,17.91,21.43,102.35,11.45,37.10,32.97,88.70,17.83,36.79,
2016-01-22,34.72,745.46,725.25,26.38,174.72,25.10,26.90,26.43,49.10,69.27,97.94,,,18.31,22.12,100.72,11.75,37.85,33.63,91.42,17.84,37.73,
2016-01-25,33.57,733.62,711.67,26.28,172.34,24.60,26.25,25.92,47.06,69.83,97.01,,,17.97,21.81,99.12,11.57,37.89,33.61,89.90,17.02,37.72,
2016-01-26,34.12,733.79,713.04,26.58,172.17,24.88,27.42,27.12,48.36,70.74,97.34,,,18.49,22.35,97.83,11.85,39.43,34.27,90.83,17.01,38.70,
2016-01-27,32.93,717.58,699.99,26.64,165.29,24.56,27.10,26.79,47.09,69.40,94.45,,,18.25,22.00,91.15,11.75,38.50,33.74,88.99,16.78,39.32,
2016-01-28,32.66,748.30,730.96,26.68,167.30,24.55,26.73,26.44,47.00,69.70,109.11,,,18.20,21.74,94.41,11.88,38.67,33.61,88.24,16.49,39.31,
2016-01-29,33.66,761.35,742.95,27.07,171.36,25.28,27.59,27.21,48.27,64.46,112.21,,,18.56,22.70,91.84,12.00,40.15,34.70,90.40,16.80,40.08,
2016-02-01,33.51,770.77,752.00,27.16,175.75,25.32,27.64,27.39,47.88,64.11,115.09,,,18.59,22.46,94.09,11.75,40.59,34.62,89.77,17.91,40.71,
2016-02-02,32.31,780.91,764.65,27.07,172.00,24.77,26.40,26.06,46.76,60.58,114.61,,,18.04,21.65,91.49,11.22,39.27,33.44,87.85,16.08,40.03,
2016-02-03,32.02,749.38,726.95,27.57,176.45,26.24,27.27,26.89,47.68,59.53,112.69,,,18.23,21.58,90.74,11.33,38.34,32.83,89.76,16.56,40.60,
2016-02-04,30.88,730.03,708.01,27.43,170.50,26.41,27.70,27.19,47.79,58.65,110.49,,,18.12,21.36,89.71,11.30,38.70,35.08,90.03,16.91,40.45,
2016-02-05,29.51,703.76,683.57,27.69,168.54,26.96,27.21,26.59,45.56,55.43,104.07,,,17.44,20.06,82.79,10.27,35.66,33.38,88.59,15.72,40.88,
2016-02-08,27.76,704.16,682.74,27.86,162.59,26.95,26.02,25.39,42.27,56.25,99.75,,,16.79,19.39,83.32,9.77,33.96,33.63,86.91,14.90,40.69,
2016-02-09,27.85,701.02,678.11,27.52,165.04,26.41,24.72,24.33,40.68,58.17,99.54,,,16.96,19.36,86.13,9.71,33.89,34.52,87.10,14.40,40.22,
2016-02-10,29.14,706.85,684.12,27.35,161.08,25.32,24.75,24.28,39.71,58.90,101.00,,,16.89,19.49,88.45,9.81,34.57,34.46,83.82,14.98,40.08,
2016-02-11,29.50,706.36,683.11,27.19,159.53,25.43,24.33,23.81,41.55,58.11,101.91,,,16.84,19.45,86.35,9.62,34.03,35.07,85.20,14.31,39.61,
2016-02-12,27.18,706.89,682.40,27.38,167.75,25.76,25.00,24.44,43.31,59.17,102.01,,,16.87,19.41,87.40,9.95,35.11,34.13,85.99,15.88,40.19,
2016-02-16,28.44,717.64,691.00,27.52,168.93,26.08,25.56,25.03,44.15,59.28,101.61,,,17.12,20.15,89.05,10.12,36.45,34.63,87.66,16.36,40.29,
2016-02-17,28.47,731.97,708.40,27.51,171.91,26.18,26.71,26.01,46.07,59.76,105.20,,,17.27,20.32,94.76,10.18,36.85,34.35,90.10,17.46,40.36,
2016-02-18,27.92,717.51,697.35,27.77,171.94,26.01,25.62,25.27,43.17,58.27,103.47,,,17.26,19.58,90.49,10.04,36.63,34.00,89.79,18.43,40.85,
2016-02-19,29.18,722.11,700.91,27.46,173.57,26.21,25.35,24.94,44.21,59.49,104.57,,,17.49,20.04,89.23,10.11,34.95,34.67,89.64,18.31,40.79,
2016-02-22,30.47,729.05,706.46,27.67,177.05,26.38,26.19,25.71,46.46,63.19,107.16,,,17.56,20.59,91.93,10.27,35.83,35.30,90.92,18.30,40.96,
2016-02-23,29.71,717.29,695.85,27.58,174.39,26.11,25.19,24.69,46.06,61.44,105.46,,,17.68,20.34,89.12,10.08,36.20,34.89,89.99,18.30,40.61,
2016-02-24,30.65,720.90,699.56,27.85,175.79,26.50,25.20,24.82,46.42,63.12,106.88,,,17.68,20.92,91.61,9.99,36.78,35.35,90.03,18.00,40.76,
2016-02-25,31.24,729.12,705.75,28.06,183.04,26.56,24.88,24.57,46.51,64.59,108.07,,,17.85,20.70,94.53,10.06,38.36,35.70,90.24,17.59,40.99,
2016-02-26,30.83,724.86,705.07,27.88,181.21,26.27,25.08,24.58,46.70,64.36,107.92,,,17.79,21.84,94.79,10.11,37.47,35.81,89.92,17.94,40.92,
2016-02-29,30.61,717.22,697.77,27.74,179.56,26.19,25.00,24.65,47.13,64.15,106.92,,,17.82,21.99,93.41,10.01,37.10,35.99,90.12,18.12,40.69,
2016-03-01,31.14,742.17,718.81,28.07,184.33,26.87,26.43,25.77,48.74,65.39,109.82,,,18.03,22.38,98.30,9.97,38.65,37.50,92.13,17.85,41.27,
2016-03-02,30.94,739.48,718.85,28.30,181.88,26.94,26.78,26.00,48.84,66.00,109.95,,,17.77,22.30,97.61,10.08,38.77,37.32,91.51,18.54,41.80,
2016-03-03,30.47,731.59,712.42,28.52,183.67,27.19,27.63,26.82,49.29,64.71,109.58,,,17.86,22.50,97.93,10.10,38.97,36.57,93.23,19.31,41.62,
2016-03-04,30.15,730.22,710.89,28.48,184.78,27.11,27.60,26.73,49.93,64.34,108.39,,,17.89,22.35,101.58,10.18,38.48,36.00,92.91,19.36,41.55,
2016-03-07,29.95,712.80,695.16,28.63,185.30,26.75,28.06,27.09,49.85,63.51,105.73,,,17.81,22.52,95.49,10.56,38.64,34.65,93.77,19.17,41.87,
2016-03-08,29.75,713.53,693.97,28.60,182.92,26.45,27.18,26.24,48.90,62.88,105.93,,,17.58,22.18,96.23,10.20,38.95,34.51,92.29,18.33,42.07,
2016-03-09,29.83,725.41,705.24,28.52,186.55,26.67,27.67,26.62,48.95,63.83,107.51,,,17.63,22.25,98.00,10.36,38.20,34.85,92.14,17.66,41.98,
2016-03-10,30.21,732.17,712.82,28.76,185.01,26.48,27.64,26.57,48.71,63.42,107.32,,,17.51,22.10,97.36,10.36,37.57,35.52,91.55,16.61,41.96,
2016-03-11,30.47,744.87,726.82,28.80,187.61,26.84,28.44,27.32,49.54,64.38,109.41,,,17.72,22.51,97.66,10.97,37.75,35.83,92.40,16.81,42.13,
2016-03-14,31.33,750.24,730.49,28.77,186.00,26.87,27.93,26.67,49.04,64.70,109.89,,,17.77,22.35,98.13,10.80,37.09,35.33,93.22,17.12,42.14,
2016-03-15,31.40,750.57,728.33,28.92,186.93,26.95,27.66,26.29,48.58,65.63,110.67,,,17.66,22.12,97.86,10.81,36.77,35.27,92.68,16.19,42.24,
2016-03-16,31.70,757.36,736.09,29.11,198.16,27.18,28.55,27.02,48.97,65.91,112.18,,,17.81,22.34,99.35,11.26,37.18,35.60,92.87,16.70,42.68,
2016-03-17,31.51,758.48,737.78,29.37,201.02,27.56,29.10,27.60,49.27,64.58,111.02,,,17.93,22.60,99.72,11.62,37.16,35.10,93.97,16.85,43.01,
2016-03-18,31.13,755.41,737.60,28.95,201.00,27.11,29.42,28.00,49.13,64.23,111.45,,,17.87,22.65,101.12,11.50,36.93,34.87,93.59,16.85,42.70,
2016-03-21,30.97,762.16,742.09,29.22,202.68,27.15,29.24,27.90,48.29,63.85,111.85,,,17.91,22.91,101.06,11.56,37.35,34.84,92.89,16.89,42.86,
2016-03-22,31.46,760.05,740.75,29.00,204.10,27.16,28.87,27.33,48.11,63.79,112.25,,,17.93,22.73,99.84,11.81,37.28,35.44,92.06,16.86,42.68,
2016-03-23,31.49,757.56,738.06,28.94,202.32,26.88,27.81,26.44,47.82,64.96,112.54,,,18.02,22.35,99.59,11.71,37.07,35.22,91.35,16.01,42.43,
2016-03-24,31.14,754.84,735.30,29.19,198.34,27.23,27.99,26.53,47.91,64.15,113.05,,,17.92,22.55,98.36,11.67,37.00,35.19,91.72,15.91,42.96,
2016-03-28,31.32,753.28,733.53,29.33,198.12,27.26,28.23,26.63,47.53,64.55,113.69,,,18.32,22.57,101.21,12.00,37.04,35.40,92.54,15.60,42.83,
2016-03-29,32.39,765.89,744.77,29.62,203.03,27.56,28.24,26.64,47.43,65.94,116.14,,,18.77,22.77,104.13,12.01,38.43,37.00,92.61,15.97,43.35,
2016-03-30,33.20,768.34,750.53,29.56,203.52,27.59,28.09,26.64,47.37,66.32,114.70,,,19.06,22.30,102.19,11.91,38.44,37.24,93.32,16.36,43.34,
2016-03-31,32.98,762.90,744.95,29.41,202.43,27.71,28.63,27.00,46.26,66.02,114.10,,,19.12,22.31,102.23,11.93,38.30,37.67,93.69,16.55,43.37,
2016-04-01,33.54,769.67,749.91,29.32,203.47,28.07,28.90,27.48,46.29,65.83,116.06,,,19.22,22.25,105.70,12.17,39.36,37.99,93.47,15.98,43.32,
2016-04-04,33.36,765.12,745.29,29.55,205.35,28.00,28.88,27.62,45.91,65.65,112.55,,,19.07,21.84,104.35,11.92,39.66,37.66,93.10,17.09,43.65,
2016-04-05,32.85,758.57,737.80,29.42,203.31,27.86,28.62,27.49,44.70,65.36,112.22,,,18.97,21.35,104.94,11.78,39.14,36.93,91.51,17.05,43.38,
2016-04-06,33.13,768.07,745.69,29.37,204.97,28.35,28.93,27.70,44.79,65.74,113.71,,,19.32,21.53,104.83,11.93,39.10,37.09,91.97,17.26,43.38,
2016-04-07,32.57,760.12,740.28,29.33,203.91,27.98,27.91,26.96,43.61,63.84,113.64,,,18.96,21.08,104.45,11.76,38.82,36.59,90.72,16.98,42.15,
2016-04-08,33.10,759.47,739.15,29.26,202.55,28.07,28.17,27.38,43.45,64.15,110.63,,,18.95,21.29,103.81,11.59,38.70,36.45,90.97,16.65,42.29,
2016-04-11,32.56,757.54,736.10,29.18,200.38,28.00,28.35,27.51,43.40,63.08,108.99,,,18.91,21.23,102.68,11.48,38.64,35.67,90.83,16.51,41.83,
2016-04-12,32.63,764.32,743.09,29.39,200.25,28.13,28.38,27.64,43.74,62.88,110.61,,,18.98,21.48,106.98,11.65,38.89,35.48,91.84,16.57,42.10,
2016-04-13,34.26,771.91,751.72,29.07,202.71,28.23,28.70,27.85,44.68,64.68,110.51,,,19.54,22.13,109.65,11.86,38.85,36.07,93.85,17.37,41.57,
2016-04-14,34.02,775.39,753.20,29.20,200.81,28.18,28.38,27.61,44.42,64.85,110.84,,,19.52,22.16,110.42,11.89,38.81,35.54,93.05,17.53,41.63,
2016-04-15,33.69,780.00,759.00,29.25,203.06,28.24,28.34,27.59,44.63,66.75,109.64,,,19.64,22.16,111.51,11.86,39.29,35.76,93.01,17.58,41.62,
2016-04-18,34.54,787.68,766.61,29.38,201.58,28.47,28.55,27.81,46.50,66.43,110.45,,,19.83,22.39,108.40,11.64,39.25,36.76,95.74,17.31,41.93,
2016-04-19,34.31,776.25,753.93,29.58,204.63,28.38,28.34,27.68,47.32,66.10,112.29,,,19.50,22.00,94.34,11.71,39.85,37.04,96.83,16.92,42.21,
2016-04-20,34.35,774.92,752.67,29.43,198.23,28.01,28.16,27.61,47.42,65.71,112.42,,,19.38,21.78,96.77,11.71,40.15,36.76,97.43,17.40,41.94,
2016-04-21,34.29,780.00,759.14,28.78,199.70,27.77,28.37,27.68,48.10,66.09,113.44,,,19.52,21.48,94.98,11.90,40.25,36.60,97.09,17.51,40.55,
2016-04-22,33.77,737.77,718.77,28.94,197.91,27.85,28.80,27.95,49.76,65.78,110.56,,,19.52,21.77,95.90,11.95,40.22,36.56,97.90,17.23,40.97,
2016-04-25,34.03,742.21,723.15,29.04,207.01,27.80,27.93,27.40,51.26,65.84,110.10,,,19.52,21.59,93.56,11.79,41.18,36.04,98.66,17.09,41.14,
2016-04-26,34.31,725.37,708.14,28.95,210.07,27.82,28.20,27.61,50.61,65.24,108.76,,,19.52,21.94,92.43,11.95,39.33,35.28,98.96,17.75,40.88,
2016-04-27,33.49,721.46,705.84,29.43,206.43,27.94,28.44,27.80,49.98,63.27,108.89,,,19.46,21.75,91.04,11.83,39.70,35.00,99.33,14.86,41.89,
2016-04-28,33.04,705.06,691.02,29.37,209.75,27.87,28.15,27.49,50.80,62.24,116.73,,,19.20,21.73,90.28,11.71,39.76,34.34,98.15,14.64,41.35,
2016-04-29,33.59,707.88,693.01,29.51,212.24,27.69,27.31,26.78,49.29,61.77,117.58,,,19.11,21.48,90.03,11.60,39.28,34.18,97.42,14.62,41.29,
2016-05-02,33.70,714.41,698.21,29.72,216.53,27.91,27.93,27.50,48.92,62.81,118.57,,,19.44,21.90,93.11,11.78,39.99,35.43,98.46,14.40,41.59,
2016-05-03,33.24,708.44,692.36,29.58,212.67,27.78,27.00,26.58,47.39,62.00,117.43,,,19.42,21.69,91.54,11.42,39.66,34.30,97.91,14.01,41.08,
2016-05-04,33.41,711.37,695.70,29.55,212.43,27.75,26.59,26.24,46.04,61.80,118.06,,,19.42,22.44,90.79,11.35,39.10,33.92,97.81,14.84,41.20,
2016-05-05,34.02,714.71,701.43,29.45,212.02,27.82,27.74,27.22,44.09,62.16,117.81,,,19.42,23.23,89.37,11.37,39.25,34.02,99.00,14.12,41.20,
2016-05-06,36.91,725.18,711.12,29.64,212.92,27.99,28.28,27.67,46.70,63.85,119.49,,,19.64,23.43,90.84,11.86,39.49,34.92,99.57,14.40,41.43,
2016-05-09,36.20,729.13,712.90,29.54,213.48,27.99,28.15,27.57,47.67,64.43,119.24,,,19.62,23.02,90.54,11.47,39.90,34.69,99.38,14.20,41.40,
2016-05-10,35.48,739.38,723.18,29.88,216.49,28.55,29.31,28.48,47.54,64.45,120.50,,,19.85,23.33,92.89,11.51,40.81,34.77,100.57,14.63,41.77,
2016-05-11,36.16,730.55,715.29,29.78,217.22,28.29,28.97,28.06,47.46,73.28,119.52,,,19.78,23.28,90.02,11.39,40.82,35.70,96.50,14.59,41.46,
2016-05-12,36.94,728.07,713.31,30.06,213.96,28.37,28.14,27.31,45.43,74.91,120.28,,,19.87,23.04,87.74,11.15,40.72,36.29,95.96,14.08,41.72,
2016-05-13,37.31,724.83,710.83,29.76,214.58,28.18,27.98,27.04,45.86,75.10,119.81,,,19.82,22.73,87.88,10.88,40.64,36.96,94.83,14.10,41.29,
2016-05-16,38.39,730.30,716.49,29.86,203.60,28.26,27.53,26.64,45.28,76.52,118.67,,,19.85,22.94,89.12,10.97,40.62,36.89,94.68,14.29,41.52,
2016-05-17,37.15,720.19,706.23,29.73,203.36,27.54,27.45,26.45,45.64,75.04,117.35,,,19.68,22.58,88.63,10.92,40.72,36.00,94.29,14.34,41.25,
2016-05-18,37.49,721.78,706.63,29.23,227.41,27.52,26.71,25.93,44.90,74.39,117.65,,,19.56,22.36,90.50,10.84,40.68,35.68,93.40,14.14,40.84,
2016-05-19,36.84,715.31,700.32,29.22,227.57,27.46,26.10,25.10,44.39,73.40,116.81,,,19.66,22.25,89.55,10.76,40.81,37.29,92.84,14.15,40.22,
2016-05-20,36.57,721.71,709.74,29.23,233.11,28.15,26.17,25.17,46.49,73.01,117.35,,,19.69,22.99,92.49,11.07,41.70,36.37,94.14,14.43,40.25,
2016-05-23,36.77,717.25,704.24,29.13,225.00,28.17,26.24,25.15,46.15,73.14,115.97,,,19.47,22.90,94.89,10.93,41.64,36.43,93.57,14.41,39.83,
2016-05-24,38.03,733.03,720.09,29.26,228.38,28.46,26.53,25.38,46.71,75.25,117.70,,,19.72,23.44,97.89,11.03,41.87,38.33,93.88,14.03,40.18,
2016-05-25,37.96,738.10,725.27,29.36,225.60,28.53,27.00,25.87,47.81,74.84,117.89,,,19.61,23.43,100.20,11.24,42.12,38.19,94.21,14.41,40.40,
2016-05-26,38.10,736.93,724.12,29.52,219.04,28.39,27.07,25.97,47.92,75.01,119.47,,,19.57,23.57,102.81,11.08,42.63,38.65,94.17,14.30,40.65,
2016-05-27,38.34,747.60,732.66,29.64,219.97,28.66,27.55,26.37,48.95,75.60,119.38,,,19.88,24.16,103.30,11.12,42.54,38.80,94.62,15.10,41.03,
2016-05-31,38.26,748.85,735.72,29.76,218.94,28.85,27.85,26.77,49.90,76.65,118.81,,,20.04,24.15,102.57,11.17,42.76,38.91,93.61,15.22,41.25,
2016-06-01,37.67,748.46,734.15,29.44,227.50,29.04,27.81,26.66,50.73,76.52,118.78,,,19.97,24.38,101.51,11.23,42.62,38.50,92.95,15.02,40.87,
2016-06-02,37.70,744.27,730.40,29.52,227.82,29.01,28.30,27.11,53.68,76.48,118.93,,,20.09,24.61,101.25,11.34,43.19,38.90,93.14,15.20,41.15,
2016-06-03,36.85,735.86,722.34,29.80,224.95,28.97,28.39,27.09,54.30,76.26,118.47,,,19.71,24.41,99.59,11.18,43.63,38.79,93.17,15.20,41.27,
2016-06-06,36.80,730.06,716.55,29.90,221.68,28.89,28.88,27.54,54.82,76.39,118.79,,,19.88,24.52,100.74,11.36,43.07,39.09,93.19,15.27,41.10,
2016-06-07,37.16,731.09,716.65,30.24,220.80,28.83,27.85,26.83,56.06,77.15,117.76,,,20.09,24.73,99.89,11.09,43.74,39.87,92.79,15.00,41.94,
2016-06-08,37.15,742.93,728.28,30.30,223.08,28.81,28.04,26.90,55.80,76.18,118.39,,,20.32,24.65,97.86,11.02,43.91,39.66,92.50,14.95,41.76,
2016-06-09,37.56,742.52,728.58,30.47,222.97,28.68,27.33,26.29,55.36,76.15,118.56,,,20.28,24.39,97.09,10.92,43.08,39.58,92.31,14.60,42.10,
2016-06-10,36.81,733.19,719.41,30.66,223.53,28.62,26.15,25.26,53.47,75.18,116.62,,,20.14,23.68,93.75,10.75,41.93,39.04,91.83,14.02,42.69,
2016-06-13,36.67,731.88,718.36,30.55,223.28,28.43,25.97,25.08,52.38,74.14,113.95,,,19.88,23.29,93.85,10.79,42.07,38.23,92.05,14.55,42.61,
2016-06-14,37.43,733.25,718.27,30.69,222.24,28.55,25.67,24.82,52.44,74.42,114.94,,,19.78,23.35,94.12,10.69,42.35,38.36,92.83,15.36,42.95,
2016-06-15,37.35,732.19,718.92,30.63,221.19,28.42,25.54,24.70,52.64,74.29,114.60,,,19.82,23.55,94.29,10.90,41.66,37.51,92.71,15.96,42.83,
2016-06-16,38.04,724.25,710.36,30.78,221.48,28.76,25.55,24.68,53.01,74.90,114.39,,,19.92,23.49,95.44,10.65,41.76,37.77,92.82,15.87,43.33,
2016-06-17,37.11,704.25,691.72,30.96,221.05,28.42,25.59,24.75,53.00,74.42,113.02,,,19.74,23.27,94.45,10.54,41.77,37.09,93.40,16.10,43.59,
2016-06-20,37.70,706.13,693.71,31.00,221.12,28.47,26.09,25.03,53.36,75.21,113.37,,,20.17,23.85,93.80,10.66,42.28,37.78,93.94,16.34,43.57,
2016-06-21,37.68,708.88,695.94,31.22,222.81,28.50,25.76,24.66,53.09,75.41,114.38,,,20.27,23.50,90.99,10.79,42.92,37.31,93.23,16.32,43.85,
2016-06-22,37.34,710.47,697.46,31.39,222.39,28.55,25.99,24.84,52.65,74.70,113.91,,,20.56,23.73,90.01,10.89,42.70,37.18,93.20,16.13,43.79,
2016-06-23,37.93,714.87,701.87,31.83,224.87,28.69,26.37,25.11,53.50,75.95,115.08,,,20.62,24.03,91.66,11.08,43.67,37.97,93.42,17.04,44.31,
2016-06-24,36.04,685.20,675.22,31.56,216.80,28.10,24.46,23.35,50.59,73.11,112.08,,,19.74,23.15,88.44,10.40,41.10,35.99,90.31,16.44,44.11,
2016-06-27,35.23,681.14,668.26,31.95,216.28,28.47,23.73,22.54,49.60,71.40,108.97,,,18.66,22.25,85.33,9.92,41.20,35.50,89.04,15.84,44.37,
2016-06-28,36.23,691.26,680.04,31.94,218.38,28.74,23.91,22.66,50.33,72.50,112.70,,,18.82,22.53,87.97,10.02,42.51,36.15,90.62,16.42,44.43,
2016-06-29,37.05,695.19,684.11,32.34,227.37,29.14,24.38,23.08,51.93,73.64,114.16,,,19.27,23.16,91.06,10.49,43.45,36.62,91.50,16.83,44.63,
2016-06-30,38.62,703.53,692.10,32.84,228.64,29.71,25.23,23.85,52.40,75.66,114.28,,,19.36,23.50,91.48,10.60,43.27,37.92,92.29,16.91,45.26,
2016-07-01,38.60,710.25,699.21,33.04,232.29,29.88,25.25,23.89,52.57,75.77,114.19,,,19.44,23.52,96.67,10.72,42.99,37.92,92.49,17.28,45.57,
2016-07-05,39.13,704.89,694.95,32.95,231.77,29.75,24.77,23.44,50.81,75.79,114.20,,,19.26,23.39,97.91,10.50,43.21,38.03,92.14,17.14,45.82,
2016-07-06,39.48,708.97,697.77,33.13,232.78,29.79,25.10,23.90,51.33,76.64,116.70,,,19.36,23.19,94.60,10.49,43.15,38.60,92.88,17.20,46.06,
2016-07-07,39.36,707.26,695.36,32.51,234.87,30.33,25.41,24.23,51.26,76.52,115.85,,,19.52,23.41,95.10,10.61,42.96,39.23,93.52,17.37,45.34,
2016-07-08,40.24,717.78,705.63,32.75,237.17,30.71,25.62,24.44,51.85,78.16,117.24,,,19.89,23.66,97.06,10.90,43.58,39.84,94.67,18.08,45.76,
2016-07-11,41.13,727.20,715.09,32.67,239.87,30.85,25.25,24.25,52.26,79.06,117.87,,,20.13,23.89,94.67,11.07,44.04,40.69,95.01,17.71,45.79,
2016-07-12,41.57,732.51,720.64,32.60,238.45,30.73,25.54,24.55,52.85,79.40,117.93,,,20.19,24.24,95.97,11.33,43.64,41.34,95.22,18.10,45.41,
2016-07-13,41.04,729.48,716.98,32.74,237.43,30.59,25.49,24.52,52.53,77.52,116.78,,,20.25,24.20,96.43,11.45,44.21,39.91,94.92,17.74,45.85,
2016-07-14,40.78,735.80,720.95,32.87,239.11,30.67,25.70,24.72,52.91,77.95,117.29,,,19.99,24.38,98.02,11.52,44.03,39.96,95.00,17.96,45.71,
2016-07-15,41.13,735.63,719.85,32.97,234.98,30.61,25.06,24.33,52.18,77.73,116.86,,,19.94,24.51,98.39,11.49,44.41,40.45,94.84,18.08,45.71,
2016-07-18,41.07,753.20,733.78,32.94,234.34,30.60,25.30,24.43,52.32,78.16,119.37,,,19.99,24.87,98.81,11.62,44.37,40.66,95.17,18.65,45.79,
2016-07-19,40.46,753.41,736.96,32.87,232.01,30.71,25.17,24.44,52.09,76.40,120.61,,,19.99,24.94,85.84,11.67,44.38,39.93,94.53,18.33,45.60,
2016-07-20,40.33,757.08,741.19,32.83,236.19,30.72,25.31,24.48,51.97,76.60,121.92,,,20.31,25.13,87.91,11.66,44.54,40.52,93.34,18.56,45.53,
2016-07-21,40.22,754.41,738.63,32.68,240.48,30.67,25.40,24.56,53.71,75.28,120.61,,,19.12,25.17,85.99,11.58,44.67,40.10,93.14,18.39,45.33,
2016-07-22,40.38,759.28,742.74,33.14,243.47,30.87,25.51,24.78,53.48,76.23,121.00,,,19.39,25.69,85.89,11.79,45.44,40.57,92.85,18.37,45.93,
2016-07-25,41.32,757.52,739.77,33.00,240.69,30.88,25.46,24.74,52.25,76.80,121.63,,,19.32,25.90,87.66,11.78,45.04,40.68,92.55,18.65,45.74,
2016-07-26,40.50,757.65,738.42,32.57,237.98,30.75,25.64,24.85,52.20,76.74,121.22,,,19.52,26.25,91.41,11.95,44.98,40.18,91.88,18.45,44.87,
2016-07-27,39.85,761.97,741.77,32.87,237.72,31.09,25.46,24.76,52.04,76.57,123.34,,,19.36,26.01,92.04,11.90,45.64,40.45,91.54,15.77,45.29,
2016-07-28,39.24,765.84,745.91,32.73,237.80,31.06,25.26,24.59,53.47,76.18,125.00,,,19.32,25.74,91.65,11.94,46.22,40.32,91.14,16.31,44.91,
2016-07-29,39.14,791.34,768.79,33.27,234.87,30.78,25.09,24.54,53.42,76.22,123.94,,,19.33,27.42,91.25,12.11,46.34,40.18,91.18,16.64,45.36,
2016-08-01,39.05,800.94,772.88,33.19,236.00,30.91,24.77,24.19,53.48,76.53,124.31,,,19.35,26.79,94.37,12.01,47.07,40.29,90.79,16.64,44.62,
2016-08-02,38.74,800.12,771.07,33.17,235.79,30.62,26.42,25.41,49.19,76.68,123.09,,,18.95,26.37,93.56,11.84,46.81,40.17,90.29,16.42,44.21,
2016-08-03,39.35,798.92,773.18,33.16,237.11,30.59,26.83,25.91,51.32,78.53,122.51,,,18.95,26.64,93.10,11.82,47.21,40.79,91.31,17.61,44.13,
2016-08-04,39.79,797.25,771.61,33.11,236.99,30.75,26.42,25.45,51.79,78.13,124.36,,,19.10,26.59,93.44,11.90,47.33,40.57,90.43,18.13,44.15,
2016-08-05,39.53,806.93,782.22,33.17,234.79,30.84,26.33,25.33,51.42,79.73,125.15,,,19.37,26.53,97.03,11.98,47.78,41.37,91.07,18.26,43.91,
2016-08-08,39.58,805.23,781.76,33.00,236.82,30.70,26.20,25.11,51.29,79.16,125.26,,,19.11,26.37,95.11,11.99,47.61,40.98,90.99,18.20,43.87,
2016-08-09,40.20,807.48,784.26,33.11,255.76,30.62,25.65,24.72,52.24,78.59,125.06,,,18.98,26.32,93.99,12.44,47.64,41.39,91.87,18.68,43.93,
2016-08-10,40.05,808.49,784.68,33.20,254.07,30.76,25.76,24.65,50.87,78.47,124.88,,,19.07,26.38,93.93,12.28,47.20,41.34,93.00,19.04,44.05,
2016-08-11,40.26,808.20,784.85,33.35,258.06,30.98,26.10,24.89,51.01,77.75,124.90,,,19.31,26.78,95.89,12.51,46.83,41.44,92.91,19.78,44.09,
